Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
136522445,A Thousand Spendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",5.0,Riverhead Books,Hardcover,0,2007,2007,,2026/05/04,,,read,,,,1,0
20067693,The Autobiography of an Ex-Colored Man,James Weldon Johnson,"Johnson, James Weldon",,"=""""","=""""",0,Dover Publications,Kindle Edition,114,2012,1912,,2026/04/01,,,read,,,,1,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,"=""0061120065""","=""9780061120060""",0,Amistad,Paperback,238,2006,1937,,2026/04/01,,,read,,,,1,0
464260,The Fire Next Time (Vintage International),James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",5.0,Vintage,Paperback,106,1992,1963,,2026/04/01,,,read,,,,0,0
9328314,On China,Henry Kissinger,"Kissinger, Henry",,"=""1594202710""","=""9781594202711""",0,"Penguin Press HC, The",Hardcover,608,2011,2011,,2026/04/01,,,read,,,,1,0
721007,The Story of an African Farm,Olive Schreiner,"Schreiner, Olive",Dan Jacobson,"=""0140431845""","=""9780140431841""",0,Penguin Classics,Paperback,304,1983,1883,,2026/04/01,,,read,,,,1,0
757233,Mhudi,Sol T. Plaatje,"Plaatje, Sol T.",,"=""0143185403""","=""9780143185406""",0,Penguin Global,Paperback,200,2006,1970,,2026/04/01,,,read,,,,1,0
8106205,To Hell with Cronjé,Ingrid Winterbach,"Winterbach, Ingrid",Elsa Silke,"=""1934824305""","=""9781934824306""",0,Open Letter Books,Paperback,234,2010,2002,,2026/04/01,,,read,,,,1,0
6150,"Cry, the Beloved Country",Alan Paton,"Paton, Alan",,"=""074326195X""","=""9780743261951""",0,Scribner,Hardcover,316,2003,1948,,2026/04/01,,,read,,,,1,0
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",0,Penguin Books,Paperback,220,2005,1999,,2026/04/01,,,read,,,,1,0
111050,July's People,Nadine Gordimer,"Gordimer, Nadine",,"=""0140061401""","=""9780140061406""",0,Penguin Books,Paperback,160,1982,1981,,2026/04/01,,,read,,,,1,0
373967,The Heart of Redness,Zakes Mda,"Mda, Zakes",,"=""0312421745""","=""9780312421748""",0,Picador,Paperback,288,2003,2000,,2026/04/01,,,read,,,,1,0
88340,Letters to Milena,Franz Kafka,"Kafka, Franz","Aarno Peromies, Philip Boehm, Milena Jesenská","=""0805208852""","=""9780805208856""",0,Schocken,Paperback,298,1990,1952,,2026/03/21,to-read,to-read (#33),to-read,,,,0,0
24874356,A Pair of Silk Stockings,Kate Chopin,"Chopin, Kate",,"=""0141398531""","=""9780141398532""",0,Penguin Classics,Paperback,64,2015,1897,,2026/03/16,to-read,to-read (#32),to-read,,,,0,0
46114,The Waves,Virginia Woolf,"Woolf, Virginia",,"=""0156949601""","=""9780156949606""",0,Harvest Books,Paperback,297,1978,1931,,2026/03/16,to-read,to-read (#31),to-read,,,,0,0
524116,Six Records of a Floating Life,Shěn Fù 沈復,"沈復, Shěn Fù","Leonard Pratt, Chiang Su-Hui","=""0140444297""","=""9780140444292""",4.0,Penguin Classics,Paperback,171,2004,1877,,2025/11/08,,,read,,,,1,0
13642,A Wizard of Earthsea,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,,Paperback,183,2004,1968,,2026/02/27,to-read,to-read (#30),to-read,,,,0,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",5.0,Dial Press Trade Paperback,Paperback,512,2005,1982,,2026/01/28,,,read,,,,1,0
127305688,The Other Significant Others: Reimagining Life with Friendship at the Center,Rhaina Cohen,"Cohen, Rhaina",,"=""1250280915""","=""9781250280916""",0,St. Martin's Press,Hardcover,320,2024,2024,,2026/02/22,to-read,to-read (#29),to-read,,,,0,0
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",0,Riverhead Books,Hardcover,304,2018,2018,,2026/02/22,to-read,to-read (#28),to-read,,,,0,0
23129659,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,"Gibson, Lindsay C.",,"=""1626251703""","=""9781626251700""",0,New Harbinger Publications,Paperback,201,2015,2015,,2026/01/27,to-read,to-read (#27),to-read,,,,0,0
5534939,Romance of the Western Chamber (Translations from the Oriental Classics Series),Wang Shifu,"Shifu, Wang",S.I. Hsiung,"=""0231086156""","=""9780231086158""",0,COLUMBIA UNIV^PRESS,Paperback,256,1968,1200,,2026/01/21,to-read,to-read (#26),to-read,,,,0,0
205150814,Dreamlike Recording of East Capital,Yuanlao Meng,"Meng, Yuanlao","Bin Liu, Jirong Liu","=""3757992393""","=""9783757992392""",0,via tolino media,Kindle Edition,193,2024,,,2026/01/15,to-read,to-read (#25),to-read,,,,0,0
209574,"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""0767903692""","=""9780767903691""",0,Broadway Books,Paperback,294,1999,1998,,2026/01/14,to-read,to-read (#24),to-read,,,,0,0
